school_id,year,day,month
1,3,22,9
1,5,26,3
2,3,29,9
2,5,22,3
3,3,22,9
3,5,27,3
4,3,22,9
4,5,21,3
5,3,22,9
5,5,23,3
6,3,21,9
6,5,21,3
7,3,22,9
7,5,27,3
8,3,23,9
8,5,23,3
9,3,22,9
9,5,23,3
10,3,22,9
10,5,28,3
11,3,23,9
11,5,27,3
12,3,29,9
12,5,22,3
13,3,28,9
13,5,23,3
14,3,28,9
14,5,22,3
15,3,28,9
15,5,28,3
16,3,29,9
16,5,26,3
17,3,28,9
17,5,23,3
18,3,29,9
18,5,16,5
19,3,29,9
19,5,17,5
20,3,28,9
20,5,16,5
21,3,28,9
21,5,22,3
22,3,23,9
22,5,26,3
23,3,22,9
23,5,23,3
24,3,22,9
24,5,26,3
25,3,21,9
25,5,21,3
26,3,28,9
26,5,14,5
27,3,29,9
27,5,14,5
28,3,23,9
28,5,15,5
29,3,23,9
29,5,15,5
30,3,29,9
30,5,11,5
31,3,23,9
31,5,10,5
32,3,21,9
32,5,10,5
33,3,21,9
33,5,10,5
34,3,26,9
34,5,18,5
35,3,26,9
35,5,17,5
36,3,26,9
36,5,15,5
37,3,26,9
37,5,11,5
38,3,27,9
38,5,16,5
39,3,27,9
39,5,17,5
40,3,26,9
40,5,15,5
41,3,27,9
41,5,18,5
42,3,27,9
42,5,15,5
43,3,27,9
43,5,16,5
44,3,27,9
44,5,11,5
45,3,27,9
45,5,15,5
46,3,27,9
46,5,16,5
47,3,27,9
47,5,15,5
48,3,26,9
48,5,10,5
49,3,26,9
49,5,11,5
50,3,26,9
50,5,14,5
51,3,21,11
51,5,11,5
52,3,4,10
52,5,29,3
53,3,3,10
53,5,29,3
54,3,4,10
54,5,29,3
55,3,4,10
55,5,29,3
56,3,4,10
56,5,28,3
57,3,30,9
57,5,30,3
58,3,3,10
58,5,29,3
59,3,30,9
59,5,29,3
60,3,4,10
60,5,30,3
61,3,4,10
61,5,30,3
62,3,4,10
62,5,29,3
63,3,4,10
63,5,28,3
64,3,3,10
64,5,29,3
65,3,3,10
65,5,28,3
66,3,3,10
66,5,27,3
67,3,30,9
67,5,28,3
68,3,30,9
68,5,29,3
69,3,13,11
69,5,26,7
70,3,7,10
70,5,25,7
71,3,10,12
71,5,26,7
72,3,10,11
72,5,23,7
73,3,10,11
73,5,23,7
74,3,10,12
74,5,20,7
75,3,13,11
75,5,18,7
76,3,5,10
76,5,23,7
77,3,10,11
77,5,25,7
78,3,10,12
78,5,24,7
79,3,10,11
79,5,24,7
80,3,7,10
80,5,26,7
81,3,10,12
81,5,26,7
82,3,10,11
82,5,24,7
83,3,10,12
83,5,24,7
84,3,10,12
84,5,26,7
85,3,13,11
85,5,18,7
86,3,10,11
86,5,26,7
87,3,5,10
87,5,25,7
88,3,5,10
88,5,25,7
89,3,6,10
89,5,25,7
90,3,5,10
90,5,25,7
91,3,5,10
91,5,26,7
92,3,5,10
92,5,24,7
93,3,6,10
93,5,26,7
94,3,6,10
94,5,24,7
95,3,6,10
95,5,26,7
96,3,6,10
96,5,25,7
97,3,5,10
97,5,24,7
98,3,5,10
98,5,24,7
99,3,10,11
99,5,26,7
100,3,5,10
100,5,25,7
101,3,20,9
101,5,20,7
102,3,26,11
102,5,16,7
103,3,20,9
103,5,17,7
104,3,7,10
104,5,20,7
105,3,25,11
105,5,16,7
106,3,13,11
106,5,16,7
107,3,13,11
107,5,16,7
108,3,26,11
108,5,23,7
109,3,21,11
109,5,16,7
110,3,25,11
110,5,18,7
111,3,27,11
111,5,17,7
112,3,27,11
112,5,23,7
113,3,26,11
113,5,17,7
114,3,26,11
114,5,16,7
115,3,27,11
115,5,17,7
116,3,27,11
116,5,17,7
117,3,28,11
117,5,16,7
118,3,21,11
118,5,16,7
119,3,25,11
119,5,23,7
120,3,25,11
120,5,16,7
121,3,27,11
121,5,17,7
122,3,13,11
122,5,16,7
123,3,20,9
123,5,16,7
124,3,10,7
124,5,17,7
125,3,13,11
125,5,17,7
126,3,10,7
126,5,17,7
127,3,10,7
127,5,19,7
128,3,20,9
128,5,20,7
129,3,20,9
129,5,23,7
130,3,19,9
130,5,20,7
131,3,20,9
131,5,23,7
132,3,26,11
132,5,19,7
133,3,26,11
133,5,19,7
134,3,19,9
134,5,19,7
135,3,19,9
135,5,19,7
136,3,19,11
136,5,18,7
137,3,19,11
137,5,18,7
138,3,24,11
138,5,19,7
139,3,19,11
139,5,19,7
140,3,19,11
140,5,17,7
141,3,21,11
141,5,23,7
142,3,19,9
142,5,19,7
143,3,19,11
143,5,19,7
144,3,17,11
144,5,17,7
145,3,17,11
145,5,19,7
146,3,18,11
146,5,19,7
147,3,17,11
147,5,17,7
148,3,17,11
148,5,20,7
149,3,17,11
149,5,19,7
150,3,18,11
150,5,18,7
151,3,18,11
151,5,18,7
152,3,18,11
152,5,18,7
153,3,18,11
153,5,19,7
154,3,17,11
154,5,18,7
155,3,18,11
155,5,19,7
156,3,30,9
156,5,14,5
157,3,21,9
157,5,15,5
158,3,23,9
158,5,10,5
159,3,29,9
159,5,11,5
160,3,30,9
160,5,17,5
161,3,21,9
161,5,9,5
162,3,29,9
162,5,14,5
163,3,22,9
163,5,9,5
164,3,30,9
164,5,15,5
165,3,29,9
165,5,9,5
